Trip ID,Membership Type,Bicycle ID,Checkout Date,Checkout Time,Checkout Kiosk ID,Checkout Kiosk,Return Kiosk ID,Return Kiosk,Trip Duration Minutes,Month,Year
16463871,Walk Up,428,12/02/2017,9:06:40,2563,Davis at Rainey Street,2707,Rainey St @ Cummings,148,,
16463876,Local365,2887,12/02/2017,9:07:56,2548,UT West Mall @ Guadalupe,3686,Sterzing at Barton Springs,23,,
16463877,Walk Up,373,12/02/2017,9:08:04,3686,Sterzing at Barton Springs,2574,Zilker Park,63,,
16463893,Local365+Guest Pass,549,12/02/2017,9:13:57,2499,City Hall / Lavaca & 2nd,2499,City Hall / Lavaca & 2nd,1,,
16463901,Walk Up,661,12/02/2017,9:15:29,3621,Nueces & 3rd,3390,Brazos & 6th,37,,
16463904,Local365+Guest Pass,895,12/02/2017,9:15:53,2571,Red River & 8th Street,3390,Brazos & 6th,37,,
16463906,Local365+Guest Pass,123,12/02/2017,9:15:58,2499,City Hall / Lavaca & 2nd,3621,Nueces & 3rd,56,,
16463911,Walk Up,472,12/02/2017,9:16:39,3513,South Congress & Barton Springs at the Austin American-Statesman,3687,Boardwalk West,44,,
16463912,Local365+Guest Pass,4399,12/02/2017,9:16:44,2499,City Hall / Lavaca & 2nd,3621,Nueces & 3rd,55,,
16463914,Walk Up,872,12/02/2017,9:17:13,3513,South Congress & Barton Springs at the Austin American-Statesman,3687,Boardwalk West,43,,
16463920,Walk Up,728,12/02/2017,9:18:49,3619,6th & Congress,2501,5th & Bowie,84,,
16463928,Walk Up,854,12/02/2017,9:21:26,3619,6th & Congress,2501,5th & Bowie,81,,
16463936,Walk Up,865,12/02/2017,9:24:55,2569,East 11th St. & San Marcos,2711,Barton Springs @ Kinney Ave,57,,
16463942,Explorer,668,12/02/2017,9:26:37,2498,Convention Center / 4th St. @ MetroRail,2494,2nd & Congress,8,,
16463943,Explorer,852,12/02/2017,9:27:39,2498,Convention Center / 4th St. @ MetroRail,2494,2nd & Congress,7,,
16463945,Walk Up,315,12/02/2017,9:28:25,2498,Convention Center / 4th St. @ MetroRail,2504,South Congress & Elizabeth,57,,
16464000,Walk Up,832,12/02/2017,9:39:07,2563,Davis at Rainey Street,2563,Davis at Rainey Street,112,,
16464025,Weekender,668,12/02/2017,9:43:25,2494,2nd & Congress,2538,Bullock Museum @ Congress & MLK,14,,
16464033,Weekender,853,12/02/2017,9:44:11,2494,2nd & Congress,2538,Bullock Museum @ Congress & MLK,13,,
16464038,Walk Up,1895,12/02/2017,9:44:46,2503,South Congress & James,3513,South Congress & Barton Springs at the Austin American-Statesman,57,,
16464057,Walk Up,22,12/02/2017,9:49:25,2566,Pfluger Bridge @ W 2nd Street,2539,Convention Center / 3rd & Trinity,40,,
16464078,Walk Up,885,12/02/2017,9:55:20,2503,South Congress & James,2540,17th & Guadalupe,27,,
16464085,Walk Up,396,12/02/2017,9:56:32,2503,South Congress & James,2540,17th & Guadalupe,26,,
16464089,Local365,1000,12/02/2017,9:57:15,2544,East 6th & Pedernales St.,2542,Plaza Saltillo,5,,
16464088,Walk Up,981,12/02/2017,9:57:15,2571,Red River & 8th Street,2571,Red River & 8th Street,71,,
16464108,Walk Up,472,12/02/2017,10:02:09,3687,Boardwalk West,3377,MoPac Pedestrian Bridge @ Veterans Drive,41,,
16464110,Walk Up,872,12/02/2017,10:02:27,3687,Boardwalk West,3377,MoPac Pedestrian Bridge @ Veterans Drive,41,,
16464111,Explorer,852,12/02/2017,10:02:38,2494,2nd & Congress,3513,South Congress & Barton Springs at the Austin American-Statesman,6,,
16464114,Explorer,541,12/02/2017,10:03:13,2494,2nd & Congress,3513,South Congress & Barton Springs at the Austin American-Statesman,5,,
16464151,Explorer,226,12/02/2017,10:10:21,2499,City Hall / Lavaca & 2nd,3293,East 2nd & Pedernales,30,,
16464152,Explorer,371,12/02/2017,10:10:22,2499,City Hall / Lavaca & 2nd,3293,East 2nd & Pedernales,30,,
16464158,Local30,321,12/02/2017,10:11:57,2566,Pfluger Bridge @ W 2nd Street,3390,Brazos & 6th,13,,
16464818,Explorer,88,12/02/2017,11:41:21,3687,Boardwalk West,2575,Riverside @ S. Lamar,20,,
16464164,Walk Up,1932,12/02/2017,10:12:53,3660,Medina & East 6th,3455,Republic Square @ 5th & Guadalupe,11,,
16464170,Walk Up,240,12/02/2017,10:13:31,3660,Medina & East 6th,3455,Republic Square @ 5th & Guadalupe,10,,
16464177,Weekender,58,12/02/2017,10:14:40,2711,Barton Springs @ Kinney Ave,2504,South Congress & Elizabeth,19,,
16464182,Local365,352,12/02/2017,10:15:23,2549,Long Center @ South 1st & Riverside,2549,Long Center @ South 1st & Riverside,22,,
16464186,Walk Up,420,12/02/2017,10:16:15,2574,Zilker Park,2574,Zilker Park,71,,
16464189,Weekender,2722,12/02/2017,10:16:52,2711,Barton Springs @ Kinney Ave,2504,South Congress & Elizabeth,16,,
16464197,Local365,270,12/02/2017,10:18:34,2707,Rainey St @ Cummings,2574,Zilker Park,21,,
16464213,Walk Up,996,12/02/2017,10:21:38,3513,South Congress & Barton Springs at the Austin American-Statesman,2501,5th & Bowie,26,,
16464218,Walk Up,852,12/02/2017,10:22:17,3513,South Congress & Barton Springs at the Austin American-Statesman,2501,5th & Bowie,26,,
16464226,Walk Up,27,12/02/2017,10:24:27,2539,Convention Center / 3rd & Trinity,2503,South Congress & James,13,,
16464228,Walk Up,550,12/02/2017,10:24:46,2539,Convention Center / 3rd & Trinity,2503,South Congress & James,13,,
16464232,Walk Up,266,12/02/2017,10:25:40,2539,Convention Center / 3rd & Trinity,2503,South Congress & James,12,,
16464234,Walk Up,3212,12/02/2017,10:25:57,2503,South Congress & James,2548,UT West Mall @ Guadalupe,38,,
16464239,Explorer,545,12/02/2017,10:28:09,3513,South Congress & Barton Springs at the Austin American-Statesman,2503,South Congress & James,9,,
16464242,Explorer,541,12/02/2017,10:28:49,3513,South Congress & Barton Springs at the Austin American-Statesman,2503,South Congress & James,10,,
16464244,Walk Up,219,12/02/2017,10:28:51,2495,4th & Congress,2538,Bullock Museum @ Congress & MLK,22,,
16464258,Local365,254,12/02/2017,10:31:08,2572,Barton Springs Pool,2572,Barton Springs Pool,47,,
16464267,Weekender,3113,12/02/2017,10:32:55,2496,8th & Congress,2572,Barton Springs Pool,35,,
16464275,Weekender,452,12/02/2017,10:33:23,2496,8th & Congress,2497,Capitol Station / Congress & 11th,13,,
16464277,Walk Up,468,12/02/2017,10:33:40,3390,Brazos & 6th,2498,Convention Center / 4th St. @ MetroRail,39,,
16464286,Walk Up,141,12/02/2017,10:34:50,3390,Brazos & 6th,2498,Convention Center / 4th St. @ MetroRail,38,,
16464297,Weekender,829,12/02/2017,10:36:40,2498,Convention Center / 4th St. @ MetroRail,2568,East 11th St. at Victory Grill,16,,
16464308,Walk Up,152,12/02/2017,10:38:10,2823,Capital Metro HQ - East 5th at Broadway,3293,East 2nd & Pedernales,11,,
16464313,Walk Up,265,12/02/2017,10:38:54,2823,Capital Metro HQ - East 5th at Broadway,2823,Capital Metro HQ - East 5th at Broadway,1,,
16464314,Explorer,540,12/02/2017,10:39:06,2575,Riverside @ S. Lamar,3687,Boardwalk West,28,,
16464322,Weekender,890,12/02/2017,10:40:09,2498,Convention Center / 4th St. @ MetroRail,2568,East 11th St. at Victory Grill,12,,
16464323,Weekender,142,12/02/2017,10:40:24,2539,Convention Center / 3rd & Trinity,3291,11th & San Jacinto,9,,
16464324,Explorer,464,12/02/2017,10:40:27,2575,Riverside @ S. Lamar,3687,Boardwalk West,27,,
16464326,Walk Up,976,12/02/2017,10:40:32,2823,Capital Metro HQ - East 5th at Broadway,2575,Riverside @ S. Lamar,61,,
16464334,Weekender,22,12/02/2017,10:41:11,2539,Convention Center / 3rd & Trinity,3291,11th & San Jacinto,8,,
16464335,Local365+Guest Pass,895,12/02/2017,10:41:22,3390,Brazos & 6th,2571,Red River & 8th Street,4,,
16464337,Walk Up,479,12/02/2017,10:41:32,2711,Barton Springs @ Kinney Ave,2572,Barton Springs Pool,40,,
16464338,Walk Up,3541,12/02/2017,10:41:36,2823,Capital Metro HQ - East 5th at Broadway,2575,Riverside @ S. Lamar,59,,
16464343,Explorer,88,12/02/2017,10:42:03,2575,Riverside @ S. Lamar,3687,Boardwalk West,25,,
16464351,Walk Up,951,12/02/2017,10:42:49,2549,Long Center @ South 1st & Riverside,2549,Long Center @ South 1st & Riverside,46,,
16464358,Walk Up,827,12/02/2017,10:43:39,2549,Long Center @ South 1st & Riverside,2549,Long Center @ South 1st & Riverside,45,,
16464377,Walk Up,472,12/02/2017,10:46:08,3377,MoPac Pedestrian Bridge @ Veterans Drive,3513,South Congress & Barton Springs at the Austin American-Statesman,29,,
16464380,Walk Up,872,12/02/2017,10:46:27,3377,MoPac Pedestrian Bridge @ Veterans Drive,3513,South Congress & Barton Springs at the Austin American-Statesman,30,,
16464384,Walk Up,610,12/02/2017,10:47:06,3455,Republic Square @ 5th & Guadalupe,3455,Republic Square @ 5th & Guadalupe,1,,
16464390,Weekender,97,12/02/2017,10:47:29,2497,Capitol Station / Congress & 11th,2572,Barton Springs Pool,20,,
16464394,Walk Up,683,12/02/2017,10:48:09,3455,Republic Square @ 5th & Guadalupe,2504,South Congress & Elizabeth,19,,
16464397,Walk Up,356,12/02/2017,10:48:32,2494,2nd & Congress,3619,6th & Congress,23,,
16464399,Walk Up,1932,12/02/2017,10:48:44,3455,Republic Square @ 5th & Guadalupe,3455,Republic Square @ 5th & Guadalupe,0,,
16464407,Local365,507,12/02/2017,10:49:01,2707,Rainey St @ Cummings,2566,Pfluger Bridge @ W 2nd Street,9,,
16464412,Walk Up,1932,12/02/2017,10:49:45,3455,Republic Square @ 5th & Guadalupe,2504,South Congress & Elizabeth,18,,
16464413,Walk Up,134,12/02/2017,10:49:49,2575,Riverside @ S. Lamar,2575,Riverside @ S. Lamar,72,,
16464415,Walk Up,212,12/02/2017,10:50:01,2498,Convention Center / 4th St. @ MetroRail,2503,South Congress & James,29,,
16464421,Walk Up,348,12/02/2017,10:50:23,3455,Republic Square @ 5th & Guadalupe,2498,Convention Center / 4th St. @ MetroRail,31,,
16464423,Walk Up,329,12/02/2017,10:50:31,2575,Riverside @ S. Lamar,2575,Riverside @ S. Lamar,69,,
16464425,Walk Up,371,12/02/2017,10:50:39,3293,East 2nd & Pedernales,2575,Riverside @ S. Lamar,50,,
16464427,Walk Up,2108,12/02/2017,10:50:41,2498,Convention Center / 4th St. @ MetroRail,2503,South Congress & James,60,,
16464435,Walk Up,46,12/02/2017,10:51:54,2498,Convention Center / 4th St. @ MetroRail,2575,Riverside @ S. Lamar,72,,
16464440,Walk Up,955,12/02/2017,10:52:28,2498,Convention Center / 4th St. @ MetroRail,2575,Riverside @ S. Lamar,71,,
16464446,Local365,106,12/02/2017,10:53:07,2552,3rd & West,2549,Long Center @ South 1st & Riverside,7,,
16464479,Walk Up,1895,12/02/2017,10:59:37,3513,South Congress & Barton Springs at the Austin American-Statesman,3513,South Congress & Barton Springs at the Austin American-Statesman,1,,
16464488,Walk Up,410,12/02/2017,11:00:39,3513,South Congress & Barton Springs at the Austin American-Statesman,3619,6th & Congress,9,,
16464500,Walk Up,1895,12/02/2017,11:01:25,3513,South Congress & Barton Springs at the Austin American-Statesman,3619,6th & Congress,8,,
16464502,Walk Up,385,12/02/2017,11:01:43,3684,Congress & Cesar Chavez,2563,Davis at Rainey Street,17,,
16464503,Explorer,1277,12/02/2017,11:01:44,2495,4th & Congress,2538,Bullock Museum @ Congress & MLK,24,,
16464510,Walk Up,278,12/02/2017,11:02:21,3684,Congress & Cesar Chavez,2563,Davis at Rainey Street,16,,
16464511,Explorer,174,12/02/2017,11:02:40,2495,4th & Congress,2538,Bullock Museum @ Congress & MLK,23,,
16464520,Local30,206,12/02/2017,11:04:04,3686,Sterzing at Barton Springs,2495,4th & Congress,13,,
16464536,Local365,288,12/02/2017,11:06:43,2502,Barton Springs & Riverside,2502,Barton Springs & Riverside,100,,
16464549,Walk Up,877,12/02/2017,11:08:52,2562,San Jacinto & 8th Street,2504,South Congress & Elizabeth,23,,
16464556,Walk Up,132,12/02/2017,11:09:52,2562,San Jacinto & 8th Street,2570,South Congress & Academy,33,,
16464579,Weekender,849,12/02/2017,11:12:21,2575,Riverside @ S. Lamar,2504,South Congress & Elizabeth,57,,
16464582,Walk Up,1895,12/02/2017,11:12:36,3619,6th & Congress,2497,Capitol Station / Congress & 11th,45,,
16464583,Weekender,382,12/02/2017,11:12:49,2575,Riverside @ S. Lamar,2504,South Congress & Elizabeth,57,,
16464585,Walk Up,1000,12/02/2017,11:12:51,2542,Plaza Saltillo,2566,Pfluger Bridge @ W 2nd Street,18,,
16464598,Walk Up,201,12/02/2017,11:14:03,2542,Plaza Saltillo,2566,Pfluger Bridge @ W 2nd Street,16,,
16464599,Walk Up,398,12/02/2017,11:14:10,2502,Barton Springs & Riverside,2502,Barton Springs & Riverside,58,,
16464602,Walk Up,924,12/02/2017,11:14:57,2502,Barton Springs & Riverside,2502,Barton Springs & Riverside,20,,
16464605,Walk Up,928,12/02/2017,11:15:32,2499,City Hall / Lavaca & 2nd,2495,4th & Congress,164,,
16464612,Walk Up,789,12/02/2017,11:16:18,2499,City Hall / Lavaca & 2nd,2495,4th & Congress,163,,
16464628,Walk Up,206,12/02/2017,11:17:56,2495,4th & Congress,2822,East 6th at Robert Martinez,14,,
16464630,Local365,712,12/02/2017,11:18:07,3685,Henderson & 9th,2552,3rd & West,4,,
16464651,Weekender,265,12/02/2017,11:20:54,2823,Capital Metro HQ - East 5th at Broadway,2823,Capital Metro HQ - East 5th at Broadway,3,,
16464662,Walk Up,709,12/02/2017,11:23:09,2572,Barton Springs Pool,2499,City Hall / Lavaca & 2nd,27,,
16464668,Weekender,79,12/02/2017,11:24:08,2823,Capital Metro HQ - East 5th at Broadway,2503,South Congress & James,49,,
16464675,Explorer,588,12/02/2017,11:24:28,2562,San Jacinto & 8th Street,2562,San Jacinto & 8th Street,50,,
16464693,Weekender,35,12/02/2017,11:28:25,2499,City Hall / Lavaca & 2nd,2575,Riverside @ S. Lamar,22,,
16464698,Walk Up,640,12/02/2017,11:29:52,2499,City Hall / Lavaca & 2nd,2499,City Hall / Lavaca & 2nd,1,,
16464706,Walk Up,640,12/02/2017,11:31:28,2499,City Hall / Lavaca & 2nd,3293,East 2nd & Pedernales,40,,
16464714,Walk Up,150,12/02/2017,11:32:21,2499,City Hall / Lavaca & 2nd,2499,City Hall / Lavaca & 2nd,1,,
16464719,Walk Up,465,12/02/2017,11:32:56,2499,City Hall / Lavaca & 2nd,3293,East 2nd & Pedernales,39,,
16464724,Walk Up,86,12/02/2017,11:33:29,2499,City Hall / Lavaca & 2nd,3293,East 2nd & Pedernales,39,,
16464729,Walk Up,517,12/02/2017,11:34:04,2499,City Hall / Lavaca & 2nd,3293,East 2nd & Pedernales,41,,
16464731,Walk Up,800,12/02/2017,11:34:08,2501,5th & Bowie,2501,5th & Bowie,77,,
16464739,Explorer,5,12/02/2017,11:34:48,3293,East 2nd & Pedernales,2499,City Hall / Lavaca & 2nd,27,,
16464742,Local365,232,12/02/2017,11:34:51,2501,5th & Bowie,3621,Nueces & 3rd,5,,
16464747,Walk Up,30,12/02/2017,11:35:06,2499,City Hall / Lavaca & 2nd,3293,East 2nd & Pedernales,36,,
16464750,Explorer,395,12/02/2017,11:35:25,2562,San Jacinto & 8th Street,2497,Capitol Station / Congress & 11th,6,,
16464754,Explorer,3471,12/02/2017,11:35:32,3293,East 2nd & Pedernales,2499,City Hall / Lavaca & 2nd,26,,
16464757,Walk Up,429,12/02/2017,11:35:53,2501,5th & Bowie,2501,5th & Bowie,77,,
16464761,Weekender,262,12/02/2017,11:36:08,2499,City Hall / Lavaca & 2nd,2575,Riverside @ S. Lamar,14,,
16464767,Walk Up,14,12/02/2017,11:36:21,2494,2nd & Congress,2494,2nd & Congress,62,,
16464772,Walk Up,856,12/02/2017,11:37:03,2494,2nd & Congress,2494,2nd & Congress,61,,
16464800,Weekender,2204,12/02/2017,11:39:15,3455,Republic Square @ 5th & Guadalupe,2563,Davis at Rainey Street,12,,
16464804,Walk Up,229,12/02/2017,11:39:39,2497,Capitol Station / Congress & 11th,3377,MoPac Pedestrian Bridge @ Veterans Drive,57,,
16464809,Weekender,823,12/02/2017,11:40:24,3455,Republic Square @ 5th & Guadalupe,2563,Davis at Rainey Street,10,,
16464813,Walk Up,428,12/02/2017,11:40:41,2707,Rainey St @ Cummings,2563,Davis at Rainey Street,61,,
16464814,Walk Up,513,12/02/2017,11:40:47,2495,4th & Congress,2574,Zilker Park,51,,
16464820,Walk Up,409,12/02/2017,11:41:33,2707,Rainey St @ Cummings,2563,Davis at Rainey Street,60,,
16464822,Walk Up,979,12/02/2017,11:41:39,2497,Capitol Station / Congress & 11th,3377,MoPac Pedestrian Bridge @ Veterans Drive,54,,
16464823,Walk Up,3541,12/02/2017,11:41:41,2575,Riverside @ S. Lamar,2574,Zilker Park,19,,
16464824,Walk Up,468,12/02/2017,11:42:06,2498,Convention Center / 4th St. @ MetroRail,3390,Brazos & 6th,7,,
16464826,Explorer,540,12/02/2017,11:42:18,3687,Boardwalk West,2575,Riverside @ S. Lamar,18,,
16464830,Walk Up,334,12/02/2017,11:42:32,2575,Riverside @ S. Lamar,2575,Riverside @ S. Lamar,0,,
16464834,Walk Up,348,12/02/2017,11:42:53,2498,Convention Center / 4th St. @ MetroRail,3390,Brazos & 6th,7,,
16464833,Walk Up,156,12/02/2017,11:42:53,2707,Rainey St @ Cummings,2563,Davis at Rainey Street,59,,
16464839,Walk Up,299,12/02/2017,11:43:20,2575,Riverside @ S. Lamar,2574,Zilker Park,17,,
16464843,Walk Up,3212,12/02/2017,11:44:01,2548,UT West Mall @ Guadalupe,1007,Lavaca & 6th,11,,
16464845,Walk Up,301,12/02/2017,11:44:05,2575,Riverside @ S. Lamar,2574,Zilker Park,16,,
16464848,Explorer,464,12/02/2017,11:44:26,3687,Boardwalk West,2575,Riverside @ S. Lamar,17,,
16464849,Walk Up,386,12/02/2017,11:44:37,2707,Rainey St @ Cummings,2707,Rainey St @ Cummings,72,,
16464851,Explorer,16,12/02/2017,11:45:06,2497,Capitol Station / Congress & 11th,2562,San Jacinto & 8th Street,29,,
16464855,Walk Up,546,12/02/2017,11:45:41,2707,Rainey St @ Cummings,2707,Rainey St @ Cummings,71,,
16464861,Walk Up,201,12/02/2017,11:46:47,2566,Pfluger Bridge @ W 2nd Street,2537,West & 6th St.,153,,
16464863,Walk Up,664,12/02/2017,11:46:59,2563,Davis at Rainey Street,2501,5th & Bowie,64,,
16464867,Walk Up,693,12/02/2017,11:47:12,2561,State Capitol Visitors Garage @ San Jacinto & 12th,2568,East 11th St. at Victory Grill,68,,
16464871,Weekender,356,12/02/2017,11:47:29,3619,6th & Congress,2572,Barton Springs Pool,30,,
16464875,Walk Up,867,12/02/2017,11:47:37,2566,Pfluger Bridge @ W 2nd Street,2537,West & 6th St.,152,,
16464877,Walk Up,3,12/02/2017,11:47:39,2563,Davis at Rainey Street,2501,5th & Bowie,63,,
16464885,Walk Up,878,12/02/2017,11:48:04,2499,City Hall / Lavaca & 2nd,2570,South Congress & Academy,24,,
16464889,Weekender,410,12/02/2017,11:48:26,3619,6th & Congress,2572,Barton Springs Pool,29,,
16464891,Walk Up,969,12/02/2017,11:48:27,2566,Pfluger Bridge @ W 2nd Street,2537,West & 6th St.,151,,
16464895,Walk Up,150,12/02/2017,11:48:49,2499,City Hall / Lavaca & 2nd,2499,City Hall / Lavaca & 2nd,8,,
16464902,Walk Up,589,12/02/2017,11:49:17,2567,Palmer Auditorium,2503,South Congress & James,15,,
16464908,Walk Up,1641,12/02/2017,11:50:06,2567,Palmer Auditorium,2503,South Congress & James,13,,
16464924,Local365+Guest Pass,263,12/02/2017,11:52:05,2566,Pfluger Bridge @ W 2nd Street,2549,Long Center @ South 1st & Riverside,6,,
16464923,Local365+Guest Pass,178,12/02/2017,11:52:05,2566,Pfluger Bridge @ W 2nd Street,2549,Long Center @ South 1st & Riverside,6,,
16464926,Walk Up,384,12/02/2017,11:52:13,2539,Convention Center / 3rd & Trinity,2539,Convention Center / 3rd & Trinity,239,,
16464931,Walk Up,555,12/02/2017,11:53:02,2539,Convention Center / 3rd & Trinity,2539,Convention Center / 3rd & Trinity,238,,
16464940,Weekender,976,12/02/2017,11:54:18,2575,Riverside @ S. Lamar,2574,Zilker Park,34,,
16464948,Weekender,35,12/02/2017,11:55:12,2575,Riverside @ S. Lamar,2574,Zilker Park,33,,
16464956,Weekender,3405,12/02/2017,11:56:13,2498,Convention Center / 4th St. @ MetroRail,2563,Davis at Rainey Street,17,,
16464966,Walk Up,422,12/02/2017,11:57:26,2575,Riverside @ S. Lamar,2537,West & 6th St.,20,,
16464969,Walk Up,549,12/02/2017,11:57:41,2499,City Hall / Lavaca & 2nd,2570,South Congress & Academy,15,,
16464974,Walk Up,334,12/02/2017,11:58:23,2575,Riverside @ S. Lamar,2537,West & 6th St.,18,,
16464983,Weekender,2722,12/02/2017,11:59:05,2504,South Congress & Elizabeth,2572,Barton Springs Pool,30,,
16464984,Weekender,315,12/02/2017,11:59:06,2504,South Congress & Elizabeth,2572,Barton Springs Pool,30,,
16464986,Walk Up,377,12/02/2017,11:59:27,2552,3rd & West,2707,Rainey St @ Cummings,36,,
16464991,Walk Up,3025,12/02/2017,12:00:08,2552,3rd & West,2707,Rainey St @ Cummings,35,,
16465003,Local365,712,12/02/2017,12:01:07,2552,3rd & West,3685,Henderson & 9th,5,,
16465005,Local365,930,12/02/2017,12:01:31,3687,Boardwalk West,3687,Boardwalk West,3,,
16465013,Weekender,472,12/02/2017,12:02:31,3513,South Congress & Barton Springs at the Austin American-Statesman,2563,Davis at Rainey Street,109,,
16465021,Walk Up,348,12/02/2017,12:03:10,3390,Brazos & 6th,2539,Convention Center / 3rd & Trinity,22,,
16465028,Local365,2887,12/02/2017,12:03:24,3686,Sterzing at Barton Springs,2494,2nd & Congress,31,,
16465030,Local30,3281,12/02/2017,12:03:28,2565,Trinity & 6th Street,2822,East 6th at Robert Martinez,11,,
16465037,Local30,150,12/02/2017,12:04:03,2499,City Hall / Lavaca & 2nd,2552,3rd & West,5,,
16465043,Weekender,873,12/02/2017,12:04:32,3513,South Congress & Barton Springs at the Austin American-Statesman,2563,Davis at Rainey Street,103,,
16465053,Walk Up,5,12/02/2017,12:05:10,2499,City Hall / Lavaca & 2nd,2499,City Hall / Lavaca & 2nd,1,,
16465061,Local365+Guest Pass,2147,12/02/2017,12:06:02,2707,Rainey St @ Cummings,2574,Zilker Park,37,,
16465064,Local365,141,12/02/2017,12:06:28,2498,Convention Center / 4th St. @ MetroRail,3684,Congress & Cesar Chavez,8,,
16465071,Walk Up,5,12/02/2017,12:06:52,2499,City Hall / Lavaca & 2nd,2501,5th & Bowie,59,,
16465073,Walk Up,247,12/02/2017,12:07:06,2548,UT West Mall @ Guadalupe,2538,Bullock Museum @ Congress & MLK,56,,
16465075,Walk Up,551,12/02/2017,12:07:18,3685,Henderson & 9th,2566,Pfluger Bridge @ W 2nd Street,10,,
16465077,Walk Up,759,12/02/2017,12:07:38,2499,City Hall / Lavaca & 2nd,2501,5th & Bowie,62,,
16465082,Walk Up,881,12/02/2017,12:08:13,2499,City Hall / Lavaca & 2nd,2501,5th & Bowie,53,,
16465083,Local365,349,12/02/2017,12:08:15,2565,Trinity & 6th Street,3619,6th & Congress,2,,
16465094,Local365,3541,12/02/2017,12:09:27,2574,Zilker Park,2707,Rainey St @ Cummings,19,,
16465095,Weekender,142,12/02/2017,12:09:31,3291,11th & San Jacinto,2538,Bullock Museum @ Congress & MLK,42,,
16465101,Weekender,22,12/02/2017,12:10:18,3291,11th & San Jacinto,2538,Bullock Museum @ Congress & MLK,41,,
16465105,Local365,283,12/02/2017,12:10:27,2570,South Congress & Academy,2494,2nd & Congress,4,,
16465115,Walk Up,420,12/02/2017,12:11:27,2574,Zilker Park,2574,Zilker Park,149,,
16465124,Walk Up,930,12/02/2017,12:12:05,3687,Boardwalk West,3687,Boardwalk West,48,,
16465126,Walk Up,270,12/02/2017,12:12:14,2574,Zilker Park,2574,Zilker Park,148,,
16465135,Local365,706,12/02/2017,12:12:58,2496,8th & Congress,2561,State Capitol Visitors Garage @ San Jacinto & 12th,7,,
16465145,Walk Up,2126,12/02/2017,12:13:55,3687,Boardwalk West,3687,Boardwalk West,47,,
